title,genres_clean,main_cast,director,vote_average,popularity,overview,clean_title,clean_overview,clean_cast,clean_director
Insomnia,Crime Mystery Thriller,Al Pacino Robin Williams Hilary Swank Maura Tierney Martin Donovan,Christopher Nolan,6.8,41.322708,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.,insomnia,two los angeles homicide detective dispatched northern town sun set investigate methodical murder local teen,al pacino robin williams hilary swank maura tierney martin donovan,christopher nolan
Star Trek: First Contact,Science Fiction Action Adventure Thriller,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,Jonathan Frakes,7.0,25.6713,"The Borg, a relentless race of cyborgs, are on a direct course for Earth. Violating orders to stay away from the battle, Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy.",star trek  first contact,borg relentless race cyborg direct course earth violating order stay away battle captain picard crew newly commissioned us enterprise e pursue borg back time prevent invader changing federation history assimilating galaxy,patrick stewart jonathan frakes brent spiner levar burton michael dorn,jonathan frakes
Jonah Hex,Action Western Drama Fantasy Thriller,Josh Brolin John Malkovich Megan Fox Michael Fassbender Will Arnett,Jimmy Hayward,4.4,22.581313,"Gunslinger Jonah Hex (Josh Brolin) is appointed by President Ulysses Grant to track down terrorist Quentin Turnbull (John Malkovich), a former Confederate officer determined on unleashing hell on earth. Jonah not only secures freedom by accepting this task, he also gets revenge on the man who slayed his wife and child. Megan Fox plays a prostitute as well as Jonah Hex's love interst in the film.",jonah hex,gunslinger jonah hex josh brolin appointed president ulysses grant track terrorist quentin turnbull john malkovich former confederate officer determined unleashing hell earth jonah secures freedom accepting task also get revenge man slayed wife child megan fox play prostitute well jonah hex love interst film,josh brolin john malkovich megan fox michael fassbender will arnett,jimmy hayward
Courage Under Fire,Drama Thriller Mystery War,Denzel Washington Meg Ryan Lou Diamond Phillips Matt Damon Michael Moriarty,Edward Zwick,6.2,12.971122,"A US Army officer had made a ""friendly fire"" mistake that was covered up and he was reassigned to a desk job. Later he was tasked to investigate a female chopper commander's worthiness to be awarded the Medal of Honor posthumously. At first all seemed in order then he begins to notice inconsistencies between the testimonies of the witnesses....",courage under fire,u army officer made friendly fire mistake covered reassigned desk job later tasked investigate female chopper commander worthiness awarded medal honor posthumously first seemed order begin notice inconsistency testimony witness,denzel washington meg ryan lou diamond phillips matt damon michael moriarty,edward zwick
Liar Liar,Comedy,Jim Carrey Maura Tierney Cary Elwes Jennifer Tilly Swoosie Kurtz,Tom Shadyac,6.4,26.721386,"Fletcher Reede is a fast-talking attorney and habitual liar. When his son Max blows out the candles on his fifth birthday he has just one wish - that his dad will stop lying for 24 hours. When Max's wish comes true, Fletcher discovers that his mouth has suddenly become his biggest liability.",liar liar,fletcher reede fast talking attorney habitual liar son max blow candle fifth birthday one wish dad stop lying 24 hour max wish come true fletcher discovers mouth suddenly become biggest liability,jim carrey maura tierney cary elwes jennifer tilly swoosie kurtz,tom shadyac
The Infiltrator,Crime Drama Thriller,Bryan Cranston Diane Kruger John Leguizamo Daniel Mays Benjamin Bratt,Brad Furman,6.6,24.672234,A U.S Customs official uncovers a massive money laundering scheme involving Pablo Escobar.,the infiltrator,u custom official uncovers massive money laundering scheme involving pablo escobar,bryan cranston diane kruger john leguizamo daniel mays benjamin bratt,brad furman
Inchon,Drama History War,Laurence Olivier Jacqueline Bisset Ben Gazzara Toshirō Mifune Richard Roundtree,Terence Young,6.5,0.146783,A noisy and absurd re-telling of the great 1950 invasion of Inchon during the Korean War which was masterminded by General Douglas MacArthur.,inchon,noisy absurd telling great 1950 invasion inchon korean war masterminded general douglas macarthur,laurence olivier jacqueline bisset ben gazzara toshir  mifune richard roundtree,terence young
The Flintstones,Fantasy Comedy Family,John Goodman Elizabeth Perkins Rick Moranis Rosie O'Donnell Kyle MacLachlan,Brian Levant,5.0,28.964162,Modern Stone Age family the Flintstones hit the big screen in this live-action version of the classic cartoon. Fred helps Barney adopt a child. Barney sees an opportunity to repay him when Slate Mining tests its employees to find a new executive. But no good deed goes unpunished.,the flintstones,modern stone age family flintstone hit big screen live action version classic cartoon fred help barney adopt child barney see opportunity repay slate mining test employee find new executive good deed go unpunished,john goodman elizabeth perkins rick moranis rosie o donnell kyle maclachlan,brian levant
Taken 2,Action Crime Thriller,Liam Neeson Maggie Grace Famke Janssen Rade Serbedzija Luke Grimes,Olivier Megaton,6.1,49.353524,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",taken 2,istanbul retired cia operative bryan mill wife taken hostage father kidnapper mill killed rescuing daughter,liam neeson maggie grace famke janssen rade serbedzija luke grimes,olivier megaton
Scary Movie 3,Comedy,Pamela Anderson Jenny McCarthy Marny Eng Charlie Sheen Simon Rex,David Zucker,5.8,36.585509,"In the third installment of the Scary Movie franchise, news anchorwoman Cindy Campbell has to investigate mysterious crop circles and killing video tapes, and help the President stop an alien invasion in the process.",scary movie 3,third installment scary movie franchise news anchorwoman cindy campbell investigate mysterious crop circle killing video tape help president stop alien invasion process,pamela anderson jenny mccarthy marny eng charlie sheen simon rex,david zucker
Miss Congeniality,Comedy Crime Action,Sandra Bullock Benjamin Bratt Michael Caine Candice Bergen William Shatner,Donald Petrie,6.1,32.624355,"When the local FBI office receives a letter from a terrorist known only as 'The Citizen', it's quickly determined that he's planning his next act at the Miss America beauty pageant. Because tough-as-nails Gracie Hart is the only female Agent at the office, she's chosen to go undercover as the contestant from New Jersey.",miss congeniality,local fbi office receives letter terrorist known citizen quickly determined planning next act miss america beauty pageant tough nail gracie hart female agent office chosen go undercover contestant new jersey,sandra bullock benjamin bratt michael caine candice bergen william shatner,donald petrie
Journey to the Center of the Earth,Action Science Fiction Adventure Comedy Family,Brendan Fraser Josh Hutcherson Anita Briem Seth Meyers Jean Michel Paré,Eric Brevig,5.8,53.090422,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",journey to the center of the earth,quest find happened missing brother scientist nephew mountain guide discover fantastic dangerous lost world center earth,brendan fraser josh hutcherson anita briem seth meyers jean michel par ,eric brevig
The Princess Diaries 2: Royal Engagement,Comedy Drama Family Romance,Anne Hathaway Julie Andrews Héctor Elizondo John Rhys-Davies Heather Matarazzo,Garry Marshall,6.0,30.002907,"Mia Thermopolis is now a college graduate and on her way to Genovia to take up her duties as princess. Her best friend Lilly also joins her for the summer. Mia continues her 'princess lessons'- riding horses side-saddle, archery, and other royal. But her complicated life is turned upside down once again when she not only learns that she is to take the crown as queen earlier than expected...",the princess diaries 2  royal engagement,mia thermopolis college graduate way genovia take duty princess best friend lilly also join summer mia continues princess lesson riding horse side saddle archery royal complicated life turned upside learns take crown queen earlier expected,anne hathaway julie andrews h ctor elizondo john rhys davies heather matarazzo,garry marshall
The Pelican Brief,Drama Mystery Thriller Crime,Julia Roberts Denzel Washington Sam Shepard William Atherton John Lithgow,Alan J. Pakula,6.3,17.923254,Two Supreme Court Justices have been assassinated. One lone law student has stumbled upon the truth. An investigative journalist wants her story. Everybody else wants her dead.,the pelican brief,two supreme court justice assassinated one lone law student stumbled upon truth investigative journalist want story everybody else want dead,julia roberts denzel washington sam shepard william atherton john lithgow,alan j  pakula
The Client,Drama Thriller Crime Mystery,Susan Sarandon Tommy Lee Jones Mary-Louise Parker Anthony LaPaglia Bradley Whitford,Joel Schumacher,6.4,17.746719,"A street-wise kid, Mark Sway, sees the suicide of Jerome Clifford, a prominent Louisiana lawyer, whose current client is Barry 'The Blade' Muldano, a Mafia hit-man. Before Jerome shoots himself, he tells Mark where the body of a Senator is buried. Clifford shoots himself and Mark is found at the scene, and both the FBI and the Mafia quickly realize that Mark probably knows more than he says.",the client,street wise kid mark sway see suicide jerome clifford prominent louisiana lawyer whose current client barry blade muldano mafia hit man jerome shoot tell mark body senator buried clifford shoot mark found scene fbi mafia quickly realize mark probably know say,susan sarandon tommy lee jones mary louise parker anthony lapaglia bradley whitford,joel schumacher
The Bucket List,Drama Comedy,Jack Nicholson Morgan Freeman Sean Hayes Beverly Todd Alfonso Freeman,Rob Reiner,7.0,31.305336,"Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor.",the bucket list,corporate billionaire edward cole working class mechanic carter chamber world apart crossroad life share hospital room discover two thing common desire spend time left everything ever wanted unrealized need come term together embark road trip lifetime becoming friend along way learning live life fullest insight humor,jack nicholson morgan freeman sean hayes beverly todd alfonso freeman,rob reiner
Patriot Games,Drama Action Thriller Crime,Harrison Ford Anne Archer Patrick Bergin Thora Birch James Fox,Phillip Noyce,6.3,19.637704,"When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.",patriot games,cia analyst jack ryan interferes ira assassination renegade faction target jack family revenge,harrison ford anne archer patrick bergin thora birch james fox,phillip noyce
Monster-in-Law,Romance Comedy,Jennifer Lopez Jane Fonda Michael Vartan Wanda Sykes Adam Scott,Robert Luketic,5.6,10.411996,"Office temp Charlotte Cantilini thinks she's found Mr. Right when she starts dating gorgeous surgeon Dr. Kevin Fields. But there's a problem standing in the way of everlasting bliss: Kevin's overbearing and controlling mother, Viola. Fearing she'll lose her son's affections forever, Viola decides to break up the happy couple by becoming the world's worst mother-in-law.",monster in law,office temp charlotte cantilini think found mr right start dating gorgeous surgeon dr kevin field problem standing way everlasting bliss kevin overbearing controlling mother viola fearing lose son affection forever viola decides break happy couple becoming world worst mother law,jennifer lopez jane fonda michael vartan wanda sykes adam scott,robert luketic
Prisoners,Drama Thriller Crime,Hugh Jackman Jake Gyllenhaal Paul Dano Maria Bello Melissa Leo,Denis Villeneuve,7.9,88.496873,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?",prisoners,keller dover daughter friend go missing take matter hand police pursue multiple lead pressure mount far desperate father go protect family,hugh jackman jake gyllenhaal paul dano maria bello melissa leo,denis villeneuve
Training Day,Action Crime Drama Thriller,Denzel Washington Ethan Hawke Scott Glenn Tom Berenger Harris Yulin,Antoine Fuqua,7.3,52.081131,"On his first day on the job as a narcotics officer, a rookie cop works with a rogue detective who isn't what he appears.",training day,first day job narcotic officer rookie cop work rogue detective appears,denzel washington ethan hawke scott glenn tom berenger harris yulin,antoine fuqua
Galaxy Quest,Comedy Family Science Fiction,Tim Allen Sigourney Weaver Alan Rickman Tony Shalhoub Sam Rockwell,Dean Parisot,6.9,30.816341,"The stars of a 1970s sci-fi show - now scraping a living through re-runs and sci-fi conventions - are beamed aboard an alien spacecraft. Believing the cast's heroic on-screen dramas are historical documents of real-life adventures, the band of aliens turn to the ailing celebrities for help in their quest to overcome the oppressive regime in their solar system.",galaxy quest,star 1970s sci fi show scraping living run sci fi convention beamed aboard alien spacecraft believing cast heroic screen drama historical document real life adventure band alien turn ailing celebrity help quest overcome oppressive regime solar system,tim allen sigourney weaver alan rickman tony shalhoub sam rockwell,dean parisot
Scary Movie 2,Comedy,Anna Faris Marlon Wayans James DeBello Shawn Wayans David Cross,Keenen Ivory Wayans,5.4,35.376971,"While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called ""Hell House,"" and murderous high jinks ensue.",scary movie 2,original parodied slasher flick like scream keenen ivory wayans sequel scary movie take comedic aim haunted house movie group student visit mansion called hell house murderous high jinks ensue,anna faris marlon wayans james debello shawn wayans david cross,keenen ivory wayans
The Muppets,Comedy Family Music,Amy Adams Jason Segel Emily Blunt John Krasinski Zach Galifianakis,James Bobin,6.5,17.047276,"When Kermit the Frog and the Muppets learn that their beloved theater is slated for demolition, a sympathetic human, Gary, and his puppet roommate, Walter, swoop in to help the gang put on a show and raise the $10 million they need to save the day.",the muppets,kermit frog muppets learn beloved theater slated demolition sympathetic human gary puppet roommate walter swoop help gang put show raise 10 million need save day,amy adams jason segel emily blunt john krasinski zach galifianakis,james bobin
Blade,Horror Action,Wesley Snipes Stephen Dorff Kris Kristofferson N'Bushe Wright Donal Logue,Stephen Norrington,6.5,43.815492,"When Blade's mother was bitten by a vampire during pregnancy, she did not know that she gave her son a special gift while dying: All the good vampire attributes in combination with the best human skills. Blade and his mentor Whistler battle an evil vampire rebel (Deacon Frost) who plans to take over the outdated vampire council, capture Blade and resurrect voracious blood god La Magra.",blade,blade mother bitten vampire pregnancy know gave son special gift dying good vampire attribute combination best human skill blade mentor whistler battle evil vampire rebel deacon frost plan take outdated vampire council capture blade resurrect voracious blood god la magra,wesley snipes stephen dorff kris kristofferson n bushe wright donal logue,stephen norrington
Coach Carter,Drama,Samuel L. Jackson Rob Brown Robert Ri'chard Rick Gonzalez Channing Tatum,Thomas Carter,7.3,23.234651,"Based on a true story, in which Richmond High School head basketball coach Ken Carter made headlines in 1999 for benching his undefeated team due to poor academic results.",coach carter,based true story richmond high school head basketball coach ken carter made headline 1999 benching undefeated team due poor academic result,samuel l  jackson rob brown robert ri chard rick gonzalez channing tatum,thomas carter
Changing Lanes,Action Adventure Crime Thriller,Ben Affleck Samuel L. Jackson Kim Staunton Toni Collette Sydney Pollack,Roger Michell,5.9,17.270539,"A rush-hour fender-bender on New York City's crowded FDR Drive, under most circumstances, wouldn't set off a chain reaction that could decimate two people's lives. But on this day, at this time, a minor collision will turn two complete strangers into vicious adversaries. Their means of destroying each other might be different, but their goals, ultimately, will be the same: Each will systematically try to dismantle the other's life in a reckless effort to reclaim something he has lost.",changing lanes,rush hour fender bender new york city crowded fdr drive circumstance set chain reaction could decimate two people life day time minor collision turn two complete stranger vicious adversary mean destroying might different goal ultimately systematically try dismantle life reckless effort reclaim something lost,ben affleck samuel l  jackson kim staunton toni collette sydney pollack,roger michell
Anaconda,Adventure Horror Thriller,Jennifer Lopez Ice Cube Jon Voight Eric Stoltz Owen Wilson,Luis Llosa,4.7,27.684779,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.",anaconda,national geographic film crew taken hostage insane hunter take along quest capture world largest deadliest snake,jennifer lopez ice cube jon voight eric stoltz owen wilson,luis llosa
Coyote Ugly,Comedy,Piper Perabo Adam Garcia John Goodman Izabella Miko Tyra Banks,David McNally,5.8,26.79781,"Graced with a velvet voice, 21-year-old Violet Sanford heads to New York to pursue her dream of becoming a songwriter only to find her aspirations sidelined by the accolades and notoriety she receives at her ""day"" job as a barmaid at Coyote Ugly. The ""Coyotes"" as they are affectionately called tantalize customers and the media alike with their outrageous antics, making Coyote Ugly the watering hole for guys on the prowl.",coyote ugly,graced velvet voice 21 year old violet sanford head new york pursue dream becoming songwriter find aspiration sidelined accolade notoriety receives day job barmaid coyote ugly coyote affectionately called tantalize customer medium alike outrageous antic making coyote ugly watering hole guy prowl,piper perabo adam garcia john goodman izabella miko tyra banks,david mcnally
Love Actually,Comedy Romance Drama,Keira Knightley Heike Makatsch Emma Thompson Laura Linney Hugh Grant,Richard Curtis,7.0,37.073127,Follows seemingly unrelated people as their lives begin to intertwine while they fall in ï¿½ï¿½ï¿½ and out ï¿½ï¿½ï¿½ of love. Affections languish and develop as Christmas,love actually,follows seemingly unrelated people life begin intertwine fall love affection languish develop christmas,keira knightley heike makatsch emma thompson laura linney hugh grant,richard curtis
A Bug's Life,Adventure Animation Comedy Family,Kevin Spacey Julia Louis-Dreyfus Hayden Panettiere Phyllis Diller Bonnie Hunt,Andrew Stanton John Lasseter,6.8,87.350802,"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",a bug s life,behalf oppressed bug everywhere inventive ant named flik hire troupe warrior bug defend bustling colony horde freeloading grasshopper led evil minded hopper,kevin spacey julia louis dreyfus hayden panettiere phyllis diller bonnie hunt,andrew stanton john lasseter
From Hell,Horror Mystery Thriller,Johnny Depp Heather Graham Ian Holm Robbie Coltrane Ian Richardson,Albert Hughes Allen Hughes,6.6,26.134678,Frederick Abberline is an opium-huffing inspector from Scotland Yard who falls for one of Jack the Ripper's prostitute targets in this Hughes brothers adaption of a graphic novel that posits the Ripper's true identity.,from hell,frederick abberline opium huffing inspector scotland yard fall one jack ripper prostitute target hughes brother adaption graphic novel posit ripper true identity,johnny depp heather graham ian holm robbie coltrane ian richardson,albert hughes allen hughes
The Specialist,Action Thriller,Sylvester Stallone Sharon Stone James Woods Rod Steiger Eric Roberts,Luis Llosa,5.5,16.582709,"May Munro is a woman obsessed with getting revenge on the people who murdered her parents when she was still a girl. She hires Ray Quick, a retired explosives expert to kill her parent's killers. When Ned Trent, embittered ex-partner of Quick's is assigned to protect one of Quick's potential victims, a deadly game of cat and mouse ensues.",the specialist,may munro woman obsessed getting revenge people murdered parent still girl hire ray quick retired explosive expert kill parent killer ned trent embittered ex partner quick assigned protect one quick potential victim deadly game cat mouse ensues,sylvester stallone sharon stone james woods rod steiger eric roberts,luis llosa
Tin Cup,Comedy Drama Romance,Kevin Costner Don Johnson Cheech Marin George Perez Rene Russo,Ron Shelton,5.9,10.731574,A washed up golf pro working at a driving range tries to qualify for the US Open in order to win the heart of his succesful rival's girlfriend.,tin cup,washed golf pro working driving range try qualify u open order win heart succesful rival girlfriend,kevin costner don johnson cheech marin george perez rene russo,ron shelton
"Yours, Mine and Ours",Comedy Drama Family,Lucille Ball Henry Fonda Van Johnson Tom Bosley Louise Troy,Melville Shavelson,6.2,2.094151,"When a widower with 10 children marries a widow with 8, can the 20 of them ever come together as one big happy family?",yours  mine and ours,widower 10 child marries widow 8 20 ever come together one big happy family,lucille ball henry fonda van johnson tom bosley louise troy,melville shavelson
Kicking & Screaming,Romance Comedy Family,Will Ferrell Robert Duvall Kate Walsh Musetta Vander Josh Hutcherson,Jesse Dylan,5.6,8.99269,"Phil Weston has been unathletic his entire life. In college he failed at every sport that he tried out for. It looks like his 10-year old son, Sam, is following in his footsteps. But with becoming the coach of The Soccers, an already successful soccer team, everything changes.",kicking   screaming,phil weston unathletic entire life college failed every sport tried look like 10 year old son sam following footstep becoming coach soccer already successful soccer team everything change,will ferrell robert duvall kate walsh musetta vander josh hutcherson,jesse dylan
